msgid,msgstr
inner height of inner walls in mm (unless outside selected)(leave to zero ^_^for same as outer walls),внутренняя высота внутренних стенок в мм (если не выбрано 'снаружи') (оставьте 0 ^_^для совпадения с внешними стенками)
sections left to right in mm [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#section-parameters),секции слева направо в мм [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#section-parameters)
sections back to front in mm [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#section-parameters),секции сзади наперед в мм [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#section-parameters)
sections bottom to top in mm [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#section-parameters),секции снизу вверх в мм [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#section-parameters)
treat sizes as outside measurements [🛈](https://florianfesti.github.io/boxes/^_^html/usermanual.html#outside),считать размеры внешними [🛈](https://florianfesti.github.io/boxes/^_^html/usermanual.html#outside)
thickness of the material (in mm) [🛈](https://florianfesti.github.io/boxes/^_^html/usermanual.html#thickness),толщина материала (в мм) [🛈](https://florianfesti.github.io/boxes/^_^html/usermanual.html#thickness)
format of resulting file [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#format),формат выходного файла [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#format)
width of tabs holding the parts in place (in mm)(not supported everywhere) ^_^[🛈](https://florianfesti.github.io/boxes/html/usermanual.html#tabs),"ширина язычков, удерживающих детали (в мм) (поддерживается не везде) ^_^[🛈](https://florianfesti.github.io/boxes/html/usermanual.html#tabs)"
print surrounding boxes for some structures [🛈](https://^_^florianfesti.github.io/boxes/html/usermanual.html#debug),печать окружающих коробок для некоторых структур [🛈](https://^_^florianfesti.github.io/boxes/html/usermanual.html#debug)
print reference rectangle with given length (in mm)(zero to disable) [🛈]^_^(https://florianfesti.github.io/boxes/html/usermanual.html#reference),печать опорного прямоугольника с заданной длиной (в мм) (0 для отключения) [🛈]^_^(https://florianfesti.github.io/boxes/html/usermanual.html#reference)
style for inner corners [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#inner-corners),стиль внутренних углов [🛈](https://florianfesti.github.io/boxes/html/^_^usermanual.html#inner-corners)
burn correction (in mm)(bigger values for tighter fit) [🛈](https://^_^florianfesti.github.io/boxes/html/usermanual.html#burn),коррекция прожига (в мм) (большее значение — более плотная посадка) [🛈](https://^_^florianfesti.github.io/boxes/html/usermanual.html#burn)
height of the bottom lips sticking out  (multiples of thickness) ^_^FingerHoleEdge only!,высота нижних выступов (кратна толщине) ^_^только для FingerHoleEdge!
height of strips to be glued to the inside of bottom edges (multiples of ^_^thickness),высота полосок для приклеивания к внутренней стороне нижних краев (кратна ^_^толщине)
This box is kept simple on purpose. If you need more features have a look at ^_^the UniversalBox.,"Эта коробка специально сделана простой. Если вам нужно больше функций, посмотрите ^_^UniversalBox."
"\n^_^Agricola Revised Edition game box insert, including some expansions.\n","\n^_^Вкладыш для коробки игры Agricola Revised Edition, включая некоторые дополнения.\n"
