msgid,msgstr
Straight Edge,Прямой край
e Straight Edge,e Прямой край
Straight Edge (outset by thickness),Прямой край (смещённый на толщину)
E Straight Edge (outset by thickness),E Прямой край (смещённый на толщину)
Edge with pear shaped mounting holes,Край с грушевидными монтажными отверстиями
G Edge with pear shaped mounting holes,G Край с грушевидными монтажными отверстиями
Edge with grooves,Край с пазами
z Edge with grooves,z Край с пазами
Edge with grooves (opposing side),Край с пазами (противоположная сторона)
Z Edge with grooves (opposing side),Z Край с пазами (противоположная сторона)
Corrugated edge useful as an gipping area,Гофрированный край, удобный для захвата
g Corrugated edge useful as an gipping area,g Гофрированный край, удобный для захвата
Finger Joint,Пальцевое соединение
f Finger Joint,f Пальцевое соединение
Finger Joint (opposing side),Пальцевое соединение (противоположная сторона)
F Finger Joint (opposing side),F Пальцевое соединение (противоположная сторона)
Edge (parallel Finger Joint Holes),Край (параллельные отверстия для пальцевого соединения)
h Edge (parallel Finger Joint Holes),h Край (параллельные отверстия для пальцевого соединения)
Edge (orthogonal Finger Joint Holes),Край (ортогональные отверстия для пальцевого соединения)
| Edge (orthogonal Finger Joint Holes),| Край (ортогональные отверстия для пальцевого соединения)
"Stackable (bottom, finger joint holes)","Штабелируемый (низ, отверстия для пальцевого соединения)"
"s Stackable (bottom, finger joint holes)","s Штабелируемый (низ, отверстия для пальцевого соединения)"
Stackable (top),Штабелируемый (верх)
S Stackable (top),S Штабелируемый (верх)
Stackable feet (bottom),Штабелируемые ножки (низ)
š Stackable feet (bottom),š Штабелируемые ножки (низ)
Stackable edge with finger holes (top),Штаbелируемый край с отверстиями для пальцев (верх)
Š Stackable edge with finger holes (top),Š Штабелируемый край с отверстиями для пальцевose (верх)
Straight edge with hinge eye,Прямой край с петельным ушком
i Straight edge with hinge eye,i Прямой край с петельным ушком
Edge with hinge pin,Край с петельным штифтом
I Edge with hinge pin,I К))))) Край с петельным штифтом
Edge with chest hinge,Край с сундуковой петлёй
o Edge with chest hinge,o Край с сундуковой петлёй
p Edge with chest hinge,p Край с сундуковой петлёй
Edge with pins for an chest hinge,Край с штифтами для сундуковой петли
q Edge with pins for an chest hinge,q Край с штифтами для сундуковой петли
Edge opposing a chest hinge,Край, противоположный сундуковой петле
Q Edge opposing a chest hinge,Q Край, противоположный сундуковой петле
Edge with cabinet hinges,Край с мебельными петлями
u Edge with cabinet hinges,u Край с мебельными петлями
Edge for slide on lid (back),Край для скользящей крышки (задний)
l Edge for slide on lid (back),l Край для скользящей крышки (задний)
Edge for slide on lid (box back),Край для скользящей крышки (задняя стенка коробки)
L Edge for slide on lid (box back),L Край для скользящей крышки (задняя стенка коробки)
Edge for slide on lid (right),Край для скользящей крышки (правый)
