msgid,msgstr
Straight Edge,Прямой край
e Straight Edge,e Прямой край
Straight Edge (outset by thickness),Прямой край (выступ по толщине)
E Straight Edge (outset by thickness),E Прямой край (выступ по толщине)
Edge with pear shaped mounting holes,Край с грушевидными монтажными отверстиями
G Edge with pear shaped mounting holes,G Край с грушевидными монтажными отверстиями
Edge with grooves,Край с канавками
z Edge with grooves,z Край с канавками
Edge with grooves (opposing side),Край с канавками (противоположная сторона)
Z Edge with grooves (opposing side),Z Край с канавками (противоположная сторона)
Corrugated edge useful as an gipping area,Рифленый край для удобного захвата
g Corrugated edge useful as an gipping area,g Рифленый край для удобного захвата
Finger Joint,Шиповое соединение
f Finger Joint,f Шиповое соединение
Finger Joint (opposing side),Шиповое соединение (противоположная сторона)
F Finger Joint (opposing side),F Шиповое соединение (противоположная сторона)
Edge (parallel Finger Joint Holes),Край (параллельные отверстия шипового соединения)
h Edge (parallel Finger Joint Holes),h Край (параллельные отверстия шипового соединения)
Edge (orthogonal Finger Joint Holes),Край (ортогональные отверстия шипового соединения)
| Edge (orthogonal Finger Joint Holes),| Край (ортогональные отверстия шипового соединения)
"Stackable (bottom, finger joint holes)","Штабелируемый (низ, отверстия шипового соединения)"
"s Stackable (bottom, finger joint holes)","s Штабелируемый (низ, отверстия шипового соединения)"
Stackable (top),Штабелируемый (верх)
S Stackable (top),S Штабелируемый (верх)
Stackable feet (bottom),Штабелируемые ножки (низ)
š Stackable feet (bottom),š Штабелируемые ножки (низ)
Stackable edge with finger holes (top),Штабелируемый край с отверстиями для пальцев (верх)
Š Stackable edge with finger holes (top),Š Штабелируемый край с отверстиями для пальцев (верх)
Straight edge with hinge eye,Прямой край с проушиной петли
i Straight edge with hinge eye,i Прямой край с проушиной петли
Edge with hinge pin,Край со штифтом петли
I Edge with hinge pin,I Край со штифтом петли
Edge with chest hinge,Край с сундучной петлей
o Edge with chest hinge,o Край с сундучной петлей
p Edge with chest hinge,p Край с сундучной петлей
Edge with pins for an chest hinge,Край со штифтами для сундучной петли
q Edge with pins for an chest hinge,q Край со штифтами для сундучной петли
Edge opposing a chest hinge,Край напротив сундучной петли
Q Edge opposing a chest hinge,Q Край напротив сундучной петли
Edge with cabinet hinges,Край с мебельными петлями
u Edge with cabinet hinges,u Край с мебельными петлями
Edge for slide on lid (back),Край для надвижной крышки (задний)
l Edge for slide on lid (back),l Край для надвижной крышки (задний)
Edge for slide on lid (box back),Край для надвижной крышки (задняя стенка коробки)
L Edge for slide on lid (box back),L Край для надвижной крышки (задняя стенка коробки)
Edge for slide on lid (right),Край для надвижной крышки (правый)
n Edge for slide on lid (right),n Край для надвижной крышки (правый)
Edge for slide on lid (left),Край для надвижной крышки (левый)
